STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO,F_AUDIO,VIDEO,F_VIDEO,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,ESUBSCRP,F_ESUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
SC,4318338,R_09,4318338,R_09,4318338,R_09,41,R_09,152,R_09,31,R_09,438.36,R_09,548.63,R_09,1352.64,R_09,1901.27,R_09,106444286,R_09,6964350,R_09,136740,R_09,5398271,R_09,118943647,R_09,57372389,R_09,19597067,R_09,76969456,R_09,11413774,R_09,1743398,R_09,3061386,R_09,16218558,R_09,18924451,R_09,112112465,R_09,5226805,R_09,1115904,R_09,940020,R_09,2493817,R_09,9776546,R_09,9472827,R_09,9429631,R_09,65639,R_09,438473,R_09,543596,R_09,378,R_09,1428,R_09,4,R_09,1810,R_09,20427,R_09,454,R_09,489584,R_09,18105931,R_09,5193964,R_09,2467743,R_09,26160419,R_09,9909356,R_09,25304,R_09,50877,R_09,31926,R_09,24495,R_09,2087,R_09,862202,R_09,721518,R_09,49619,R_09,3082,R_09,5529774,R_09,07/2008,R_09,06/2009,R_09,45,2010,05
SD,751902,R_09,732732,R_09,812383,R_09,112,R_09,36,R_09,8,R_09,41.76,IF09,162.94,IF09,202.17,IF09,365.11,IF09,21794375,IF09,0,IF09,215644,IF09,1256183,IF09,23266202,IF09,11571511,IF09,3309595,IF09,14881106,IF09,2158242,IF09,295713,IF09,554984,IF09,3008939,IF09,4117709,IF09,22007754,IF09,2670514,IF09,0,IF09,250000,IF09,178374,IF09,3098888,IF09,7934385,IF09,3095596,IF09,55842,IF09,123914,IF09,163627,IF09,65,IF09,4518,IF09,1244,IF09,5827,IF09,5422,IF09,16,IF09,236772,IF09,3976320,IF09,634736,IF09,417111,IF09,6126411,IF09,1892270,IF09,34563,IF09,43701,IF09,10125,IF09,8203,IF09,878,U_09,252019,IF09,214153,IF09,9683,U_09,910,IF09,926926,IF09,01/2009,R_09,12/2009,R_09,46,2010,04
TN,6189071,R_09,6189071,R_09,6189071,R_09,186,R_09,103,R_09,5,R_09,290.51,R_09,576.73,R_09,1241.48,R_09,1818.21,R_09,101021270,R_09,100520,R_09,459203,R_09,11973240,R_09,113554233,R_09,56321471,R_09,15630481,R_09,71951952,R_09,8735388,R_09,1143389,R_09,2242822,R_09,12121599,R_09,20946438,R_09,105019989,R_09,18987862,R_09,540000,IF09,108600,IF09,1903868,IF09,21540330,R_09,17867059,R_09,11753799,R_09,49609,R_09,514804,R_09,540368,R_09,553,R_09,7440,R_09,54,R_09,8047,R_09,16192,R_09,81,IF09,628324,R_09,21545326,IF09,3927613,IF09,3201560,R_09,24986660,R_09,8045426,IF09,92381,IF09,95437,IF09,34594,R_09,24807,R_09,2307,R_09,1042365,R_09,846658,R_09,39026,U_09,4104,R_09,6019840,R_09,07/2008,R_09,06/2009,R_09,47,2010,05
TX,22650832,R_09,22650832,R_09,24326974,R_09,559,R_09,306,R_09,8,R_09,1655.71,R_09,2279.48,R_09,4849.36,R_09,7128.84,R_09,433078662,R_09,5388154,R_09,785179,R_09,16678049,R_09,455930044,R_09,233165971,R_09,72016805,R_09,305182776,R_09,41611769,R_09,7012242,R_09,10532586,R_09,59156597,R_09,78151448,R_09,442490821,R_09,84552234,R_09,434767,R_09,1487580,R_09,8101560,R_09,94576141,R_09,70214730,R_09,41749029,R_09,255670,R_09,2030821,R_09,2249129,R_09,1603,R_09,27135,R_09,665,R_09,29403,R_09,60034,R_09,3001,R_09,1880255,R_09,79151722,IF09,16435201,IF09,11973441,IF09,116156469,IF09,43389324,IF09,331818,IF09,437364,IF09,176978,IF09,103019,IF09,17415,R_09,4810376,IF09,3379914,IF09,335534,R_09,16031,R_09,21253447,IF09,02/2008,R_09,12/2009,R_09,48,2010,06
UT,2734137,R_09,2734137,R_09,2736424,R_09,57,R_09,64,R_09,18,R_09,178.58,IF09,339.62,IF09,838.77,IF09,1178.39,IF09,81532939,IF09,987810,IF09,290365,IF09,4139806,IF09,86950920,IF09,40867579,IF09,15117211,IF09,55984790,IF09,9347753,IF09,1004621,IF09,3823517,IF09,14175891,IF09,14810825,IF09,84971506,IF09,5859453,IF09,63289,IF09,78052,IF09,275783,IF09,6276577,IF09,6128343,IF09,6744272,IF09,65251,IF09,696681,IF09,522846,IF09,579,IF09,2556,R_09,0,IF09,3135,IF09,13608,IF09,197,IF09,305829,IF09,19037603,IF09,5116948,IF09,1733570,IF09,36636897,IF09,14092513,IF09,22498,IF09,25677,IF09,24516,IF09,19674,IF09,1758,U_09,853942,IF09,717806,IF09,30808,U_09,1717,IF09,3527513,IF09,07/2008,R_09,12/2009,R_09,49,2010,07
VA,7660382,R_09,7634809,R_09,7795424,R_09,79,R_09,269,R_09,29,R_09,886.42,R_09,1004.71,R_09,2916.43,R_09,3921.14,R_09,251142707,R_09,17033865,R_09,747285,R_09,12498476,R_09,281422333,R_09,146108888,R_09,43279769,R_09,189388657,R_09,21970961,R_09,3916485,R_09,5607933,R_09,31495379,R_09,54426985,R_09,275311021,R_09,40875953,R_09,10000,R_09,79200,R_09,20890818,R_09,61855971,R_09,38354834,R_09,19150672,R_09,860664,IF09,1082830,R_09,953844,R_09,774,R_09,1638,R_09,806,R_09,3218,R_09,30634,R_09,3831,R_09,923332,R_09,42300780,R_09,7626640,IF09,4602202,R_09,75180389,R_09,25128850,IF09,178793,IF09,187408,IF09,105850,IF09,56370,IF09,6146,U_09,1851788,R_09,784120,IF09,103020,U_09,5671,R_09,7309754,IF09,07/2008,R_09,06/2009,R_09,51,2010,05
VI,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,-1,U_09,M,U_09,M,U_09,78,2010,09
VT,718907,R_09,606479,R_09,621270,R_09,182,R_09,3,R_09,5,R_09,48.25,IF09,195.2,IF09,136.29,IF09,331.49,IF09,15313086,IF09,462,IF09,16239,IF09,5879666,IF09,21209453,IF09,10705717,IF09,2399591,IF09,13105308,IF09,1824763,IF09,123327,IF09,407478,IF09,2355568,IF09,4773283,IF09,20234159,IF09,996318,IF09,0,IF09,132896,IF09,406315,IF09,1535529,IF09,1259612,IF09,2963910,IF09,8194,IF09,154760,IF09,158309,IF09,237,IF09,2661,IF09,0,IF09,2898,IF09,6568,IF09,21,IF09,261967,IF09,3932070,IF09,464938,IF09,383819,IF09,4754349,IF09,1903877,IF09,31420,IF09,47649,IF09,21898,IF09,15462,IF09,841,U_09,371135,IF09,269067,IF09,14310,U_09,941,IF09,849762,IF09,01/2008,R_09,09/2009,R_09,50,2010,01
WA,6544250,R_09,6544250,R_09,6668200,R_09,54,R_09,281,R_09,26,R_09,818.68,IF09,852.16,IF09,2699.62,IF09,3551.78,IF09,326805900,IF09,505249,IF09,908777,IF09,10679211,IF09,338899137,IF09,172789433,IF09,54182608,IF09,226972041,IF09,31887287,IF09,6496793,IF09,6543708,IF09,44927788,IF09,65025300,IF09,336925129,IF09,3187813,IF09,2000,IF09,0,IF09,1384632,IF09,4574445,IF09,12288374,IF09,15376906,IF09,81463,IF09,1424941,IF09,1382811,IF09,840,IF09,693,R_09,71,IF09,1604,IF09,41167,IF09,16701,IF09,766315,IF09,44123917,IF09,5996845,IF09,4639416,R_09,84505075,IF09,28001053,IF09,129566,IF09,178368,IF09,66890,IF09,47543,IF09,4809,U_09,1852221,IF09,1425222,IF09,97205,U_09,5249,IF09,9364118,IF09,01/2009,R_09,12/2009,R_09,53,2010,08
WI,5687715,R_09,5687715,R_09,5687715,R_09,377,R_09,80,R_09,8,R_09,634.18,R_09,1096.66,R_09,1932.93,R_09,3029.59,R_09,201393720,R_09,5809775,R_09,1004486,R_09,11395400,R_09,219603381,R_09,109025268,IF09,40752292,IF09,149777560,R_09,17755475,IF09,1331947,IF09,6043205,IF09,25130627,R_09,40909981,R_09,215818168,R_09,14940180,R_09,46762,R_09,916183,R_09,6088153,R_09,21991278,R_09,21898318,R_09,19955835,R_09,3387509,R_09,2933219,R_09,1774786,R_09,1086,R_09,10640,R_09,1958,R_09,13684,R_09,46404,IF09,1167,IF09,1048617,R_09,36481000,IF09,5128790,IF09,3669788,IF09,65271061,R_09,22698464,R_09,8706762,IF09,8817373,IF09,74569,R_09,53530,R_09,4533,R_09,1855221,R_09,1507861,IF09,69199,R_09,4887,R_09,7808423,IF09,01/2009,R_09,12/2009,R_09,55,2010,03
WV,1808350,R_09,1808350,R_09,1808350,R_09,97,R_09,76,R_09,7,R_09,95.9,R_09,350.99,R_09,290.9,R_09,641.89,R_09,22374012,R_09,9139901,R_09,234753,R_09,2910811,R_09,34659477,R_09,15802109,R_09,4804880,R_09,20606989,R_09,3552403,R_09,436010,R_09,839596,R_09,4828009,R_09,6209550,R_09,31644548,R_09,3223747,R_09,1379107,R_09,200405,R_09,953979,R_09,5757238,R_09,2458644,R_09,5212807,R_09,10087,R_09,216782,R_09,252890,R_09,255,R_09,1358,R_09,0,R_09,1613,R_09,7322,R_09,44,R_09,384618,R_09,6081791,R_09,862826,R_09,792829,R_09,7731735,R_09,2492819,IF09,99273,R_09,105212,R_09,19786,R_09,13303,R_09,1029,R_09,409537,R_09,294029,R_09,19292,R_09,1280,R_09,1608829,R_09,07/2008,R_09,06/2009,R_09,54,2010,05
WY,532668,R_09,532668,R_09,532668,R_09,23,R_09,53,R_09,2,R_09,48.05,R_09,179.27,R_09,272.12,R_09,451.39,R_09,29909464,R_09,15361,R_09,37023,R_09,1599685,R_09,31561533,R_09,16069733,R_09,5521341,R_09,21591074,R_09,2031489,R_09,209591,R_09,667292,R_09,2908372,R_09,5623586,R_09,30123032,R_09,1862611,R_09,0,R_09,0,R_09,48238,R_09,1910849,R_09,788160,R_09,2484239,R_09,437,R_09,240956,R_09,137648,R_09,68,R_09,920,R_09,30,R_09,1018,R_09,5208,R_09,8,R_09,132305,R_09,3756294,R_09,646392,R_09,356323,R_09,5058654,R_09,1720333,R_09,54034,R_09,51277,R_09,13462,R_09,10104,R_09,1233,R_09,333857,R_09,274144,R_09,26801,R_09,754,R_09,944682,R_09,07/2008,R_09,06/2009,R_09,56,2010,07
