STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO,F_AUDIO,VIDEO,F_VIDEO,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,ESUBSCRP,F_ESUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,FIPSST,YR_SUB,OBEREG
NJ,9016064,R_09,8336427,R_09,8414350,R_09,301,R_09,150,R_09,12,R_09,1659.17,IF09,1670.17,IF09,4213.83,IF09,5884,IF09,474563711,IF09,7562067,IF09,1605010,IF09,18758347,IF09,502489135,IF09,240995716,IF09,85483793,IF09,326479509,IF09,36456825,IF09,5085422,IF09,9705856,IF09,51248103,IF09,92846568,IF09,470574180,IF09,13275473,IF09,515821,IF09,45154,IF09,650662,IF09,14487110,IF09,18757423,IF09,30229507,IF09,124677,IF09,1532626,IF09,1674318,IF09,2669,IF09,6622,R_09,962,IF09,10253,IF09,57044,IF09,534,IF09,1216580,IF09,51019258,IF09,8137928,IF09,4490215,IF09,64887659,IF09,23427813,IF09,2366600,IF09,2364080,IF09,153851,IF09,96624,IF09,0,U_09,2921302,IF09,1918969,IF09,0,U_09,6970,IF09,11257880,IF09,01/2009,R_09,12/2009,R_09,34,2010,02
NM,1568545,R_09,1566675,R_09,1984356,R_09,91,R_09,27,R_09,1,R_09,135,IF09,299.83,IF09,398.54,IF09,698.37,IF09,40850137,IF09,2046704,IF09,464004,IF09,2289136,IF09,45649981,IF09,21673510,IF09,7706221,IF09,29379731,IF09,4029024,IF09,760969,IF09,919687,IF09,5709680,IF09,9642134,IF09,44731545,IF09,1319784,IF09,743248,IF09,0,IF09,235141,IF09,2298173,IF09,2768020,IF09,4615028,IF09,5865,IF09,233008,IF09,207889,IF09,275,IF09,3549,IF09,196,IF09,4020,IF09,10283,IF09,82,IF09,256663,IF09,7800479,IF09,1326375,IF09,1147306,IF09,10181967,IF09,3474549,IF09,21048,IF09,23251,IF09,17739,IF09,11382,IF09,2296,U_09,412603,IF09,303868,IF09,38337,U_09,1416,IF09,1995016,IF09,07/2008,R_09,06/2009,R_09,35,2010,06
NV,2711056,R_09,2711056,R_09,2711056,R_09,19,R_09,67,R_09,5,R_09,189.48,R_09,240.48,R_09,729.31,R_09,969.79,R_09,79373381,R_09,3066510,R_09,773084,R_09,21601000,R_09,104813975,R_09,42467131,R_09,14241100,R_09,56708231,R_09,9652700,R_09,2031374,R_09,4042310,R_09,15726384,R_09,15849822,R_09,88284437,R_09,5151137,R_09,32189,R_09,0,R_09,98709,R_09,5282035,R_09,7948460,R_09,4781506,R_09,67410,R_09,435352,R_09,501135,R_09,221,R_09,880,R_09,17,R_09,1118,R_09,9063,R_09,17,R_09,170599,R_09,11584739,IF09,1616730,R_09,1174719,R_09,19415692,R_09,6859063,R_09,131001,R_09,88682,R_09,22321,R_09,11272,R_09,167,U_09,756474,R_09,420699,R_09,3475,U_09,1249,R_09,3391433,R_09,07/2008,R_09,06/2009,R_09,32,2010,08
NY,19097977,R_09,18927889,R_09,18927889,R_09,755,R_09,312,R_09,6,R_09,3636.23,R_09,4310.81,R_09,8617.45,R_09,12928.26,R_09,1027325610,R_09,45738003,R_09,6000583,R_09,164536818,R_09,1243601014,R_09,605978635,R_09,198054977,R_09,804033612,R_09,79857276,R_09,11342172,R_09,13943641,R_09,105143089,R_09,200684785,R_09,1109861486,R_09,67111312,R_09,12042126,R_09,253429,R_09,82238594,R_09,161645461,R_09,179590929,R_09,75760289,R_09,705764,IF09,5706839,R_09,3952863,R_09,7765,R_09,6032,R_09,5150,R_09,18947,R_09,177746,R_09,664033,R_09,2409883,R_09,119810969,R_09,27583096,IF09,11294134,R_09,159895774,R_09,48902738,R_09,7345420,IF09,7530247,IF09,379406,R_09,190670,R_09,44215,U_09,7270424,IF09,4096991,IF09,591371,U_09,15928,R_09,22322833,IF09,03/2008,R_09,12/2009,R_09,36,2010,02
OH,11542032,R_09,11542032,R_09,11542032,R_09,239,R_09,485,R_09,64,R_09,1940.98,R_09,2701.54,IF09,6021.15,IF09,8722.69,IF09,223217935,R_09,370163577,R_09,0,R_09,80302827,IF09,673684339,IF09,347936660,R_09,104643115,R_09,452579775,R_09,46029219,R_09,8997438,R_09,31856738,R_09,86883395,R_09,121155515,R_09,660618685,R_09,90000,R_09,46800,R_09,1025498,R_09,14607797,R_09,15770095,R_09,33780566,R_09,45818148,R_09,1321651,IF09,4776481,IF09,4504271,R_09,1982,R_09,70531,R_09,963,R_09,73476,R_09,162880,IF09,114019,IF09,1772973,R_09,92402369,IF09,20701928,IF09,8202529,IF09,196245957,R_09,55184307,IF09,8164874,IF09,8786661,IF09,252658,IF09,158264,IF09,19006,U_09,5449510,IF09,3904785,IF09,367881,U_09,11435,R_09,22036787,IF09,01/2009,R_09,12/2009,R_09,39,2010,03
OK,3005997,R_09,3005997,R_09,3687050,R_09,115,R_09,91,R_09,5,R_09,248.53,R_09,630.39,R_09,682.39,R_09,1312.78,R_09,90518709,R_09,2785712,R_09,95797,R_09,4954436,R_09,98354654,R_09,43897876,R_09,12757872,R_09,56655748,R_09,10439277,R_09,1287008,R_09,2159429,R_09,13885714,R_09,25885325,R_09,96426787,R_09,7993629,R_09,189522,R_09,13172,R_09,5111573,R_09,13307896,R_09,10131627,R_09,7277804,R_09,11695,R_09,335143,R_09,333974,R_09,394,R_09,2645,R_09,14,R_09,3053,R_09,12505,R_09,32,R_09,480926,R_09,21171452,R_09,2177760,R_09,1796101,R_09,21290447,R_09,7021527,R_09,45901,R_09,46363,R_09,33153,R_09,18482,R_09,3120,R_09,933622,R_09,682071,R_09,59516,R_09,2324,R_09,4711639,R_09,07/2008,R_09,06/2009,R_09,40,2010,06
OR,3639023,R_09,3639023,R_09,3791075,R_09,123,R_09,88,R_09,9,R_09,397.78,R_09,504.05,R_09,1256.2,R_09,1760.25,R_09,166102831,R_09,717807,R_09,624075,R_09,10816466,IF09,178261179,IF09,73386831,R_09,34701552,R_09,108088383,R_09,11693982,R_09,2251993,IF09,4425950,R_09,18371925,IF09,40814135,R_09,167274443,R_09,12895341,IF09,1500,R_09,563767,R_09,5292555,IF09,18753163,IF09,19797683,R_09,9927444,R_09,40060,IF09,1190686,R_09,814031,R_09,469,R_09,3348,R_09,595,R_09,4412,R_09,20684,R_09,1196,R_09,420039,R_09,24681438,IF09,2737292,IF09,1918988,IF09,55860328,R_09,21157569,IF09,4114548,IF09,3695065,R_09,56161,IF09,41966,R_09,4429,R_09,1357519,IF09,1124225,IF09,61490,U_09,2539,R_09,4785990,IF09,07/2008,R_09,06/2009,R_09,41,2010,08
PA,12094096,R_09,11971429,R_09,12284183,R_09,453,R_09,179,R_09,33,R_09,1180.49,IF09,1583.05,IF09,3612.29,IF09,5195.34,IF09,209197386,IF09,81839459,IF09,4041135,IF09,51884840,IF09,346962820,IF09,163304247,IF09,55343560,IF09,218647807,IF09,28381199,IF09,3804578,IF09,11535532,IF09,43721309,IF09,72592058,IF09,334961174,IF09,4136074,IF09,6461494,IF09,67607,IF09,10738780,IF09,21403955,IF09,27342219,IF09,28179842,IF09,769402,IF09,2677870,IF09,1733634,IF09,1601,R_09,18778,R_09,2376,R_09,22755,R_09,59684,IF09,1919,IF09,1529475,IF09,49246073,IF09,8939231,IF09,5513347,IF09,72070635,IF09,25766078,IF09,4041674,IF09,4160808,IF09,178704,IF09,115616,IF09,14896,U_09,3947143,IF09,2986882,IF09,195421,U_09,7232,IF09,9091955,IF09,07/2008,R_09,12/2009,R_09,42,2010,02
PR,7521620,R_09,2451906,R_09,3967179,R_09,48,R_09,13,R_09,1,R_09,14,U_09,57,U_09,223,U_09,280,U_09,2618421,U_09,873770,U_09,22700,U_09,1292159,U_09,3259433,U_09,2709469,U_09,525278,U_09,2712098,U_09,111346,U_09,600862,U_09,8668,U_09,711358,U_09,924515,U_09,3192608,U_09,85556,U_09,118160,U_09,83733,U_09,90034,U_09,217482,U_09,1317258,U_09,260985,U_09,180,U_09,57260,U_09,5302,U_09,46,U_09,1,U_09,1,U_09,47,U_09,3452,U_09,3,U_09,68752,U_09,445879,U_09,142458,U_09,72808,U_09,96482,U_09,20857,U_09,155,U_09,254,U_09,2300,U_09,789,U_09,181,U_09,49348,U_09,20417,U_09,7019,U_09,738,U_09,222808,U_09,01/2009,R_09,12/2009,R_09,72,2010,09
RI,1298048,R_09,1057832,R_09,1057832,R_09,48,R_09,24,R_09,2,R_09,212.43,IF09,237.11,IF09,377.95,IF09,615.06,IF09,33326057,IF09,8817941,IF09,271962,IF09,7195323,IF09,49611283,IF09,25547381,IF09,8428092,IF09,33975473,IF09,3070835,IF09,1235704,IF09,727710,IF09,5034249,IF09,7791680,IF09,46801402,IF09,162552,IF09,575984,IF09,52704,IF09,991692,IF09,1782932,IF09,1284749,IF09,4333934,IF09,13763,IF09,146781,IF09,219033,IF09,545,IF09,966,IF09,707,IF09,2218,IF09,7017,IF09,45,IF09,166852,IF09,6813919,IF09,872963,IF09,508617,IF09,7747890,IF09,2426719,IF09,1417818,IF09,1098938,IF09,21043,IF09,12184,IF09,2393,U_09,349954,IF09,199487,IF09,26096,U_09,1097,IF09,1529269,IF09,07/2008,R_09,06/2009,R_09,44,2010,01
