STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO_PH,F_AUD_PH,AUDIO_DL,F_AUD_DL,VIDEO_PH,F_VID_PH,VIDEO_DL,F_VID_DL,EC_LO_OT,F_EC_L_O,EC_ST,F_EC_ST,ELECCOLL,F_ELECOL,SUBSCRIP,F_PRSUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,ELMATCIR,F_EMTCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,YAPRO,F_YAPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,YAATTEN,F_YAATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,WIFISESS,F_WIFISS,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,INCITSST,YR_SUB,OBEREG
FL,20061119,R_15,19772703,R_15,20172959,R_15,60,R_15,475,R_15,23,R_15,1679.66,IF15,1929.19,IF15,4196.46,IF15,6125.65,IF15,500145753,IF15,28006035,IF15,1459284,IF15,19478037,IF15,549089109,IF15,228340830,IF15,84934633,IF15,313275463,IF15,33959444,IF15,17489608,IF15,10228083,IF15,61677135,IF15,144704072,IF15,519656670,IF15,33973467,IF15,638714,IF15,0,IF15,723792,IF15,35219417,IF15,26218433,IF15,30794327,IF15,2431664,R_15,1998461,IF15,11000634,R_15,3460075,IF15,210200,R_15,1309,R_15,5120,R_15,5853,R_15,46509,IF15,1263144,IF15,73400951,IF15,23601535,IF15,10759953,IF15,113489630,IF15,34405901,IF15,15761056,R_15,127922,IF15,132703,IF15,219166,IF15,101382,IF15,16965,R_15,4823312,IF15,3009888,IF15,338911,R_15,16852,IF15,16462207,IF15,4695598,R_15,10/2014,R_15,09/2015,R_15,12,2016,05
GA,10250112,R_15,10250112,R_15,10250112,R_15,62,R_15,338,R_15,11,R_15,576.97,R_15,576.97,R_15,2124,R_15,2700.97,R_15,147106051,R_15,25974224,R_15,1338769,R_15,13652791,R_15,188071835,R_15,92618990,R_15,36966076,R_15,129585066,R_15,11172624,R_15,3567650,IF15,2589369,IF15,17329643,R_15,38105276,R_15,185019985,R_15,29634902,R_15,2900097,R_15,40000,R_15,244011,R_15,32819010,R_15,33103220,R_15,16522129,R_15,412040,R_15,583119,R_15,298964,R_15,942989,R_15,22246,R_15,290,R_15,3844,R_15,4134,R_15,18128,R_15,806119,R_15,29147787,R_15,8215939,IF15,4366940,R_15,37351002,R_15,16016538,R_15,1026529,R_15,679255,R_15,678339,R_15,80731,R_15,41420,R_15,6140,R_15,2313151,R_15,1561116,R_15,120874,R_15,8892,R_15,11629268,R_15,3481557,R_15,07/2014,R_15,06/2015,R_15,13,2016,05
GU,159358,R_15,159358,R_15,159358,R_15,1,R_15,5,R_15,0,R_15,0,U_15,0,U_15,21,U_15,21,U_15,1144428,U_15,0,U_15,0,U_15,11140,U_15,1155568,U_15,569752,U_15,225307,U_15,795059,U_15,35613,U_15,2424,U_15,0,U_15,38037,U_15,35807,U_15,868903,U_15,0,U_15,0,U_15,120499,U_15,0,U_15,120499,U_15,0,U_15,266695,U_15,200,U_15,297,U_15,217,U_15,1439,U_15,0,U_15,2,U_15,0,U_15,2,U_15,76,U_15,6297,U_15,72223,U_15,1154,U_15,61532,U_15,31167,U_15,16227,U_15,0,U_15,217,U_15,0,U_15,1634,U_15,754,U_15,809,U_15,9069,U_15,8769,U_15,1770,U_15,547,U_15,25219,U_15,2369,U_15,10/2014,R_15,09/2015,R_15,66,2016,09
HI,1419561,R_15,1419561,R_15,1419561,R_15,1,R_15,49,R_15,2,R_15,152,R_15,154,R_15,393.5,R_15,547.5,R_15,0,R_15,31206251,R_15,1035941,R_15,2002128,R_15,34244320,R_15,23399893,R_15,248588,R_15,23648481,R_15,2497176,R_15,1439040,R_15,116077,R_15,4052293,R_15,6868798,R_15,34569572,R_15,0,R_15,3625000,R_15,0,R_15,0,R_15,3625000,R_15,5190879,R_15,3197205,R_15,38509,R_15,230800,R_15,15957,R_15,164142,R_15,0,R_15,0,R_15,93,R_15,93,R_15,2739,R_15,92616,R_15,4940616,R_15,664247,R_15,958223,R_15,6388014,R_15,2729594,R_15,417735,R_15,238,R_15,36,R_15,10072,R_15,7369,R_15,1616,R_15,279966,R_15,206485,R_15,45615,R_15,532,R_15,729658,R_15,322173,R_15,07/2014,R_15,06/2015,R_15,15,2016,08
IA,3091381,R_15,3071934,R_15,3123899,R_15,543,R_15,24,R_15,3,R_15,298.93,IF15,991.47,IF15,750.42,IF15,1741.89,IF15,110283781,IF15,2599618,IF15,67309,IF15,10567860,IF15,123518568,IF15,61742243,IF15,19393198,IF15,81135441,IF15,9671375,IF15,2787509,IF15,3055112,IF15,15513996,IF15,21880255,IF15,118529692,IF15,5325938,IF15,95296,IF15,1120169,IF15,3686370,IF15,10227773,IF15,13272259,IF15,11982974,IF15,6452994,R_15,664307,IF15,2668134,R_15,1003252,IF15,4258,R_15,1020,R_15,7033,R_15,8053,R_15,28097,IF15,1001947,IF15,18107047,IF15,1730745,IF15,2064047,IF15,27434738,IF15,9634627,IF15,1411613,R_15,378713,IF15,419089,IF15,78333,R_15,52252,R_15,6733,R_15,1718736,IF15,1349438,IF15,101078,IF15,4852,IF15,3183385,IF15,2089593,R_15,07/2014,R_15,06/2015,R_15,19,2016,04
ID,1366746,R_15,1366746,R_15,1654930,R_15,100,R_15,45,R_15,10,R_15,100.2,R_15,221.1,R_15,558.88,R_15,779.98,R_15,48390167,R_15,1560560,R_15,28865,R_15,3954544,R_15,53934136,R_15,24220579,R_15,7594320,R_15,31814899,R_15,3463594,R_15,1148282,R_15,599094,R_15,5210970,R_15,13203107,R_15,50228976,R_15,1460504,R_15,6943,R_15,205658,R_15,200960,R_15,1874065,R_15,4933066,R_15,4351952,R_15,421811,R_15,235377,IF15,216767,R_15,330264,IF15,1168,R_15,195,R_15,5253,R_15,5448,R_15,6462,R_15,279337,IF15,8657494,R_15,1152777,IF15,902975,IF15,15633138,R_15,7124369,IF15,974695,R_15,152044,IF15,160447,IF15,31962,R_15,21939,R_15,3646,IF15,792062,R_15,624334,R_15,68787,IF15,1862,R_15,1847384,IF15,751066,R_15,10/2014,R_15,09/2015,R_15,16,2016,07
IL,11708841,R_15,11783933,R_15,12859995,R_15,622,R_15,157,R_15,19,R_15,2181,R_15,3181.54,R_15,5444.67,R_15,8626.21,R_15,716492017,IF15,46603404,IF15,2575136,R_15,40124052,R_15,805794609,IF15,370378012,R_15,96400274,IF15,466778286,R_15,46622395,R_15,20738799,R_15,14601080,R_15,81962274,R_15,171604585,R_15,720345145,R_15,44692812,R_15,32755241,IF15,182532,R_15,10572187,R_15,88202772,R_15,127720309,IF15,42366082,IF15,11905527,R_15,2758185,IF15,2781576,R_15,3608374,IF15,155834,R_15,7765,R_15,13684,R_15,21449,R_15,84358,IF15,1919223,IF15,70379834,IF15,10394057,IF15,5693590,IF15,111992747,R_15,45241095,R_15,6505528,R_15,5429397,IF15,5270659,IF15,205303,R_15,122988,R_15,20283,R_15,4841882,R_15,3446474,R_15,348304,IF15,16526,R_15,13558526,IF15,9003170,R_15,12/2013,R_15,06/2015,R_15,17,2016,03
IN,6222089,R_15,6100143,R_15,6483802,R_15,236,R_15,191,R_15,26,R_15,968.59,R_15,1463.5,R_15,2939.47,R_15,4402.97,R_15,293434079,R_15,20183577,R_15,772886,R_15,15053009,R_15,329443551,R_15,147234670,R_15,48047188,R_15,195281858,R_15,24389285,R_15,11028137,R_15,7935580,R_15,43353002,R_15,76699467,R_15,315334327,R_15,42105594,R_15,2201453,R_15,5791,R_15,4917326,R_15,49230164,R_15,33638576,IF15,23209611,R_15,5235660,R_15,1554342,R_15,1269058,R_15,2097689,R_15,127613,R_15,2942,R_15,12087,R_15,15029,R_15,43856,R_15,1087293,R_15,34932970,IF15,4257304,IF15,3563110,R_15,77652885,R_15,23891489,IF15,13264127,R_15,494503,R_15,505168,R_15,139977,IF15,81694,IF15,13505,IF15,3061291,IF15,1972807,IF15,208783,IF15,8681,R_15,6911547,R_15,7670584,R_15,01/2015,R_15,12/2015,R_15,18,2016,03
KS,2497316,R_15,2499729,R_15,2904021,R_15,328,R_15,48,R_15,5,R_15,275.77,IF15,703.03,IF15,1019.83,IF15,1722.86,IF15,107662056,IF15,4078163,IF15,84833,IF15,12103199,IF15,123928251,IF15,58407415,IF15,17747949,IF15,76155364,IF15,8183735,IF15,2806831,IF15,3066273,IF15,14056839,IF15,29007190,IF15,119219393,IF15,3088361,IF15,0,IF15,0,IF15,2209831,IF15,5298192,IF15,4267241,IF15,9150452,IF15,43146554,R_15,499312,IF15,6091082,R_15,903955,IF15,62748,R_15,413,R_15,21056,R_15,21277,R_15,14827,IF15,683833,IF15,14018272,IF15,2013076,IF15,1716413,IF15,24929579,IF15,9544781,IF15,1423733,R_15,875878,IF15,904954,IF15,58459,IF15,35379,IF15,6428,IF15,1185783,IF15,861950,IF15,90636,IF15,3723,IF15,2975769,IF15,1101084,R_15,01/2015,R_15,12/2015,R_15,20,2016,04
KY,4413457,R_15,4395295,R_15,4395295,R_15,119,R_15,86,R_15,75,R_15,363.08,R_15,1209.07,R_15,1010.03,R_15,2219.1,R_15,167707494,R_15,6101708,R_15,708556,R_15,8703449,R_15,183221207,R_15,66068552,R_15,24481791,R_15,90550343,R_15,11302055,R_15,4799266,R_15,4282348,R_15,20383669,R_15,32256540,R_15,143190552,R_15,4921924,R_15,496803,R_15,12825,R_15,2610453,R_15,8042005,R_15,26120847,R_15,9170937,R_15,9038104,R_15,528600,R_15,1886190,R_15,855339,R_15,265707,R_15,1081,R_15,3774,R_15,4855,R_15,18358,R_15,633608,R_15,18584048,R_15,4282701,R_15,2595290,R_15,30434823,R_15,9842962,R_15,2699150,R_15,52914,R_15,72733,R_15,95029,R_15,60512,R_15,7205,R_15,2209558,R_15,1481367,R_15,126791,R_15,4893,R_15,4404673,R_15,3781523,R_15,07/2014,R_15,06/2015,R_15,21,2016,05
LA,4692850,R_15,4670724,R_15,4670724,R_15,68,R_15,272,R_15,27,R_15,457.61,R_15,1178.24,R_15,1520.01,R_15,2698.25,R_15,223788585,R_15,5140664,IF15,602893,IF15,7418307,IF15,236950449,R_15,90133714,R_15,33849771,R_15,123983485,R_15,13556712,R_15,6094393,R_15,4711521,R_15,24362626,R_15,57607622,R_15,205953733,R_15,8133051,R_15,1010333,R_15,2478400,R_15,2198950,R_15,13820734,R_15,26784709,R_15,11833399,R_15,1256550,R_15,478336,R_15,965551,R_15,1091295,R_15,106212,R_15,725,R_15,3468,R_15,4193,R_15,21417,R_15,794911,R_15,20224732,R_15,5277758,R_15,2503850,R_15,21036425,R_15,4973347,R_15,2313363,R_15,83287,R_15,105251,R_15,81645,R_15,43324,R_15,12010,R_15,1816617,R_15,1066136,R_15,208680,R_15,5569,R_15,5349309,R_15,5180961,R_15,01/2015,R_15,12/2015,R_15,22,2016,05
MA,6720911,R_15,6672700,R_15,6672700,R_15,370,R_15,94,R_15,4,R_15,1266.85,IF15,1841.7,IF15,1928.63,IF15,3770.33,IF15,260052695,IF15,8920573,IF15,583029,IF15,23398796,IF15,292955093,IF15,188699800,IF15,28794886,IF15,217494686,IF15,22410467,IF15,6809231,IF15,7139417,IF15,36359115,IF15,49602713,IF15,303456514,IF15,49157159,IF15,33980554,IF15,5149,IF15,19839199,IF15,102982061,IF15,24515396,IF15,30872149,IF15,16204148,R_15,1519949,IF15,1928841,R_15,1969090,IF15,224232,R_15,6241,R_15,22200,R_15,28141,R_15,45206,IF15,921095,IF15,40693986,IF15,4503302,IF15,3343980,IF15,61373010,IF15,20607066,IF15,4010052,R_15,6279940,IF15,6453685,IF15,137999,IF15,78136,IF15,11522,IF15,2649669,IF15,1814954,IF15,134318,IF15,6522,IF15,6348554,IF15,2910088,R_15,07/2014,R_15,06/2015,R_15,25,2016,01
MD,5922168,R_15,5884563,R_15,5884563,R_15,14,R_15,174,R_15,16,R_15,662,R_15,1330,R_15,2257,R_15,3587,R_15,232394345,R_15,52126115,R_15,1068431,R_15,31321145,R_15,316910036,R_15,145479600,R_15,57940959,R_15,203420559,R_15,18424864,R_15,7478675,R_15,7389105,R_15,33292644,R_15,36792925,R_15,273506128,R_15,32037181,R_15,8369080,R_15,360000,R_15,124081,R_15,40890342,R_15,37580601,R_15,11921844,R_15,2734237,R_15,1054072,R_15,1895236,R_15,1047719,R_15,39182,R_15,579,R_15,216,R_15,795,R_15,18982,R_15,500191,R_15,28145478,R_15,9023047,R_15,3720843,R_15,58275229,R_15,22570928,R_15,-1,R_15,301352,R_15,341362,R_15,75812,R_15,50970,R_15,6826,R_15,2062215,R_15,1528224,R_15,186462,R_15,5157,R_15,6119294,R_15,4155502,R_15,07/2014,R_15,06/2015,R_15,24,2016,02
ME,1345231,R_15,1213403,R_15,1329328,R_15,262,R_15,6,R_15,1,R_15,156.93,IF15,349.18,IF15,344.16,IF15,693.34,IF15,32879197,IF15,365831,IF15,37607,IF15,12504232,IF15,45786867,IF15,24947681,IF15,6143742,IF15,31091423,IF15,3235540,IF15,373638,IF15,634542,IF15,4243720,IF15,10270915,IF15,45606058,IF15,15785939,IF15,600,IF15,222136,IF15,9232916,IF15,25241591,IF15,21130670,IF15,6221864,IF15,1588418,R_15,233365,IF15,1187900,R_15,373400,IF15,39641,R_15,16854,R_15,2,R_15,16856,R_15,11525,IF15,377706,R_15,6719983,IF15,763041,IF15,750006,IF15,9009663,IF15,3265117,IF15,569580,R_15,507489,IF15,539787,IF15,42417,IF15,24596,IF15,2590,R_15,601168,IF15,369084,IF15,28692,R_15,1930,IF15,1146820,IF15,256486,R_15,04/2014,R_15,12/2015,R_15,23,2016,01
MI,9747938,R_15,9844810,R_15,9898193,R_15,389,R_15,252,R_15,9,R_15,1223.53,IF15,1755.45,IF15,2978.9,IF15,4734.35,IF15,367440525,IF15,10804621,IF15,426515,IF15,22904747,R_15,401576408,IF15,174438984,IF15,57378226,IF15,231817210,IF15,24087222,IF15,7267557,IF15,9382699,IF15,40737478,IF15,91159866,IF15,363714554,IF15,10699957,IF15,68708,IF15,15532,IF15,2340095,IF15,13124292,IF15,27201993,IF15,31842188,IF15,3562388,R_15,1998997,IF15,1820695,R_15,2533783,IF15,113099,R_15,1448,R_15,18864,R_15,20312,R_15,49376,IF15,1419931,IF15,48242810,IF15,8781159,IF15,5205215,IF15,81338973,IF15,25725606,IF15,7788300,R_15,2730480,IF15,2814384,IF15,131883,IF15,70225,IF15,12140,IF15,3345035,IF15,2157058,IF15,224132,IF15,11961,IF15,10000465,IF15,6652770,R_15,12/2013,R_15,09/2015,R_15,26,2016,03
MN,5781457,R_15,5502683,R_15,5502683,R_15,129,R_15,226,R_15,8,R_15,525.31,R_15,777.5,R_15,1384.92,R_15,2162.42,R_15,189721699,R_15,8398596,R_15,115985,R_15,20260382,R_15,218496662,R_15,101952405,R_15,33825562,R_15,135777967,R_15,16203293,IF15,5500254,IF15,4434377,R_15,26137924,R_15,53638856,R_15,215150849,R_15,31324172,R_15,715199,R_15,3822,R_15,1580028,R_15,33623221,R_15,28540268,R_15,14362914,IF15,3983900,R_15,863976,IF15,544818,R_15,1011430,IF15,1328,R_15,1146,R_15,6576,R_15,7722,R_15,24337,IF15,742699,IF15,24472891,IF15,3822480,IF15,3871271,IF15,52624381,R_15,21322015,IF15,4805966,R_15,1127841,R_15,1109253,R_15,65044,IF15,40005,IF15,6568,IF15,1485319,IF15,1068458,IF15,93750,IF15,5730,R_15,5110594,IF15,3378243,R_15,01/2015,R_15,12/2015,R_15,27,2016,04
MO,5476144,R_15,5476144,R_15,6063589,R_15,139,R_15,222,R_15,26,R_15,296.52,R_15,819.03,R_15,2337.48,R_15,3156.51,R_15,229210474,R_15,4342415,R_15,2523100,R_15,15449115,R_15,251525104,R_15,104468282,R_15,31479013,R_15,135947295,R_15,19387015,R_15,9517897,R_15,7142373,R_15,36047285,R_15,58493315,R_15,230487895,R_15,7405061,R_15,56000,R_15,108167,R_15,879363,R_15,8448591,R_15,19004342,R_15,16287823,R_15,1871690,R_15,958551,R_15,792044,R_15,1141454,R_15,61224,R_15,1155,R_15,1452,R_15,2607,R_15,28192,R_15,901003,R_15,28446757,R_15,3543785,IF15,3321761,IF15,54825928,R_15,18449805,IF15,4433382,R_15,365625,R_15,409057,R_15,93515,R_15,47088,R_15,7371,R_15,2335768,R_15,1659684,R_15,170899,R_15,5077,R_15,6048088,R_15,2146280,R_15,10/2013,R_15,10/2015,R_15,29,2016,04
MS,3010927,R_15,2982557,R_15,2994079,R_15,52,R_15,184,R_15,2,R_15,130.51,R_15,632.42,R_15,283.08,R_15,915.5,R_15,36970912,R_15,9209146,R_15,680456,R_15,4624039,R_15,51484553,R_15,24507799,R_15,8507422,R_15,33015221,R_15,2801152,R_15,587242,R_15,738601,R_15,4126995,R_15,11971805,R_15,49114021,R_15,17909,IF15,0,IF15,17828,IF15,0,IF15,35737,R_15,479085,R_15,5703858,R_15,152247,R_15,197108,R_15,44751,R_15,348309,R_15,21105,R_15,173,R_15,2704,R_15,2877,R_15,6029,R_15,446376,R_15,9057776,R_15,1386944,R_15,1703933,R_15,7673400,R_15,2411606,R_15,168410,R_15,13466,R_15,20750,R_15,25674,R_15,14636,R_15,1970,R_15,655091,R_15,467860,R_15,34315,R_15,2742,R_15,2500843,R_15,649787,R_15,10/2014,R_15,09/2015,R_15,28,2016,05
MT,988533,R_15,988533,R_15,988533,R_15,82,R_15,32,R_15,4,R_15,68.15,R_15,190.28,R_15,192.34,R_15,382.62,R_15,25681647,R_15,568271,R_15,19531,R_15,1763255,R_15,28032704,R_15,13275125,R_15,4663301,R_15,17938426,R_15,1891445,R_15,499176,IF15,426392,R_15,2817013,R_15,4712762,R_15,25468201,R_15,2486654,R_15,0,R_15,0,R_15,199799,R_15,2686453,R_15,3270380,R_15,2622221,R_15,961855,R_15,118404,R_15,833355,R_15,198172,R_15,26741,R_15,129,R_15,3116,R_15,3245,R_15,3979,R_15,215043,R_15,4220996,R_15,476476,R_15,461085,R_15,6074331,R_15,2135996,IF15,603756,R_15,228012,R_15,233207,R_15,16655,IF15,10775,IF15,1632,IF15,313886,IF15,211546,IF15,20541,IF15,1288,R_15,1174464,IF15,285175,R_15,07/2014,R_15,06/2015,R_15,30,2016,07
NC,9953687,R_15,9953687,R_15,9953687,R_15,69,R_15,316,R_15,21,R_15,743.64,R_15,800.18,R_15,2166.17,R_15,2966.35,R_15,192488470,R_15,13596531,R_15,1669041,R_15,10548202,R_15,218302244,R_15,108094803,R_15,39965473,R_15,148060276,R_15,15553950,R_15,4236667,R_15,3026046,R_15,22816663,R_15,39498035,R_15,210374974,R_15,8976783,R_15,178506,R_15,143280,R_15,107127,R_15,9405696,R_15,6626008,IF15,16021416,R_15,16550082,R_15,666435,R_15,645402,R_15,788229,R_15,73835,R_15,530,R_15,5040,R_15,5570,R_15,22423,R_15,928242,R_15,35671727,IF15,6767826,IF15,5128357,R_15,51518349,R_15,22691034,R_15,3279927,R_15,320278,IF15,323486,IF15,126583,R_15,86008,R_15,10899,R_15,2697793,R_15,2173057,R_15,148596,R_15,7899,R_15,7340714,R_15,1927895,R_15,07/2014,R_15,06/2015,R_15,37,2016,05
ND,670109,R_15,673061,R_15,756927,R_15,77,R_15,4,R_15,11,R_15,44.06,R_15,138.25,R_15,104.88,R_15,243.13,R_15,16214941,R_15,1591693,R_15,1134,R_15,1505074,R_15,19312842,R_15,9299927,R_15,2494623,R_15,11794550,R_15,1782156,R_15,416850,R_15,365025,R_15,2564031,R_15,4033682,R_15,18392263,R_15,375114,R_15,0,R_15,0,R_15,160546,R_15,535660,R_15,567184,R_15,2223262,R_15,472148,R_15,89815,R_15,165168,R_15,126255,R_15,26133,R_15,1790,R_15,936,R_15,2726,R_15,3553,R_15,148461,R_15,2213327,IF15,510013,IF15,270955,R_15,3940674,IF15,1377287,IF15,447030,R_15,58413,R_15,45897,R_15,8465,R_15,5521,R_15,1298,R_15,201212,R_15,154405,R_15,13558,R_15,836,R_15,587812,IF15,892547,R_15,01/2015,R_15,12/2015,R_15,38,2016,04
NE,1564374,R_15,1566163,R_15,1896190,R_15,260,R_15,19,R_15,7,R_15,113.49,IF15,362.84,IF15,435.72,IF15,798.56,IF15,53825215,IF15,540065,IF15,7574,IF15,3246921,R_15,57619775,IF15,27482326,IF15,8980897,IF15,36463223,IF15,4854393,IF15,1473145,IF15,1317285,IF15,7644823,IF15,10541964,IF15,54650010,IF15,2623233,IF15,375000,IF15,21840,IF15,838792,IF15,3858865,IF15,2278531,IF15,5826917,IF15,3446732,R_15,249136,IF15,1457427,R_15,354819,IF15,2442,R_15,340,R_15,4940,R_15,4805,R_15,11629,IF15,446836,IF15,8309742,IF15,790724,IF15,1067312,IF15,12820054,IF15,5911983,IF15,937867,R_15,26921,IF15,29248,IF15,33386,IF15,21504,IF15,3317,IF15,773034,IF15,600481,IF15,47764,IF15,2897,IF15,2036248,IF15,1432380,R_15,01/2014,R_15,12/2015,R_15,31,2016,04
NH,1448586,R_15,1174260,R_15,1323259,R_15,227,R_15,5,R_15,0,R_15,230.48,IF15,489.54,IF15,338.39,IF15,827.93,IF15,55035259,IF15,128616,IF15,33980,IF15,4572719,IF15,59770574,IF15,33060598,R_15,10083875,R_15,42701214,R_15,4291845,IF15,813911,IF15,1111503,IF15,6217259,IF15,9172885,IF15,58534617,IF15,1717165,IF15,0,IF15,0,IF15,330613,IF15,2047778,IF15,1891262,IF15,5891592,IF15,3731108,R_15,299947,IF15,1518883,R_15,461401,IF15,27520,R_15,816,R_15,5448,R_15,6264,R_15,11338,IF15,386928,IF15,7417674,IF15,916976,IF15,801643,IF15,10017770,IF15,3938606,IF15,831882,R_15,277848,IF15,258086,IF15,49916,IF15,27952,IF15,2892,IF15,748908,IF15,494825,IF15,28624,IF15,1480,IF15,871400,IF15,220801,R_15,07/2014,R_15,12/2015,R_15,33,2016,01
NJ,9401743,R_15,8708750,R_15,8791894,R_15,295,R_15,143,R_15,12,R_15,1166.99,IF15,1408.9,IF15,3191.7,IF15,4600.6,IF15,449029386,IF15,3848662,IF15,362055,IF15,19873393,IF15,473113496,IF15,231822112,IF15,95599561,IF15,327421673,IF15,25818079,IF15,6904559,IF15,7572339,IF15,40294977,IF15,80948779,IF15,448665429,IF15,11315716,IF15,8337,IF15,132000,IF15,1581701,IF15,13037754,IF15,13995043,IF15,27504614,IF15,3636107,R_15,1669924,IF15,2832567,R_15,2223025,IF15,117083,R_15,4171,R_15,6785,R_15,10956,R_15,368289,IF15,1176223,IF15,44045921,IF15,7199099,IF15,4346154,IF15,56084031,IF15,21903733,IF15,3141803,R_15,2230189,IF15,2362621,IF15,189205,IF15,95236,IF15,16770,R_15,3355114,IF15,2000705,IF15,210161,R_15,8117,IF15,9117479,IF15,3330265,R_15,01/2015,R_15,12/2015,R_15,34,2016,02
NM,1643292,R_15,1646422,R_15,2059179,R_15,95,R_15,29,R_15,1,R_15,126.81,IF15,288.34,IF15,383.76,IF15,672.1,IF15,46333518,IF15,2005368,IF15,248144,IF15,3002602,R_15,51589632,IF15,21908472,IF15,8490207,IF15,30398679,IF15,4104804,IF15,1741832,IF15,1355341,IF15,7201977,IF15,9663650,IF15,47264306,IF15,6927446,R_15,3243435,R_15,34982,R_15,188575,R_15,10394438,R_15,11897792,R_15,4293846,IF15,243131,R_15,218325,IF15,188746,R_15,323925,IF15,23308,R_15,458,R_15,4655,R_15,5113,R_15,6793,IF15,261987,IF15,7365968,IF15,1435111,IF15,1060109,IF15,9130881,IF15,2852797,IF15,695153,R_15,16599,IF15,20482,IF15,21229,IF15,12389,IF15,3141,R_15,485827,IF15,341454,IF15,51273,R_15,1733,IF15,1983317,IF15,2467439,R_15,07/2014,R_15,06/2015,R_15,35,2016,06
NV,2842285,R_15,2842285,R_15,2843301,R_15,19,R_15,66,R_15,3,R_15,163.98,R_15,202.56,R_15,591.67,R_15,794.23,R_15,64651665,R_15,22498289,R_15,1213443,R_15,3727919,R_15,92091316,R_15,41068065,R_15,15465953,R_15,56534018,R_15,5581970,R_15,2288717,R_15,2892725,R_15,10763412,R_15,14740955,R_15,82038385,R_15,21500,R_15,0,R_15,0,R_15,170435,R_15,191935,R_15,156879,R_15,4115827,R_15,266935,R_15,452558,R_15,750892,R_15,594601,R_15,55493,R_15,239,R_15,756,R_15,995,R_15,6261,R_15,161834,R_15,9918132,R_15,1557906,R_15,1298837,R_15,20870111,R_15,6970429,R_15,1718418,R_15,146138,R_15,115115,R_15,28438,R_15,14504,R_15,1427,R_15,862023,R_15,501770,R_15,34385,R_15,1268,R_15,2531085,R_15,1078829,R_15,07/2014,R_15,06/2015,R_15,32,2016,08
NY,19519880,R_15,19378102,R_15,19378102,R_15,755,R_15,308,R_15,8,R_15,3575.32,R_15,4212.52,R_15,8257.51,R_15,12470.03,R_15,1128060892,R_15,53868040,R_15,5976211,R_15,175383031,R_15,1363288174,R_15,613797443,R_15,272152632,R_15,885950075,R_15,61908188,R_15,25908214,R_15,16542038,R_15,104358440,R_15,241322390,R_15,1231630905,R_15,7916339,R_15,9685751,R_15,0,R_15,166727640,R_15,184329730,R_15,203581957,R_15,69312915,R_15,16623212,R_15,3426806,R_15,4175753,R_15,5197957,R_15,735505,R_15,27397,R_15,7560,R_15,34957,R_15,163098,R_15,2418181,R_15,103912991,R_15,27492044,R_15,11133885,R_15,133877727,R_15,42649080,R_15,11012721,R_15,7263412,R_15,7318116,R_15,528590,R_15,227150,R_15,58436,IF15,9400433,R_15,4973625,R_15,780499,IF15,20585,R_15,21514497,R_15,9251665,R_15,04/2014,R_15,12/2015,R_15,36,2016,02
OH,11509951,R_15,11509951,R_15,11509951,R_15,239,R_15,474,R_15,50,R_15,1922.52,IF15,2608.61,R_15,6341.93,R_15,8950.51,R_15,344219620,IF15,379453769,R_15,445631,R_15,73568299,R_15,797687318,R_15,342844162,R_15,109576570,R_15,452420732,R_15,46497820,R_15,21817067,R_15,31413394,R_15,99728281,R_15,152175622,R_15,704324635,R_15,1000,IF15,3711,IF15,0,IF15,11320003,IF15,11324714,IF15,88187675,IF15,41023868,R_15,47362218,R_15,3482491,IF15,25730216,R_15,5229884,R_15,1900479,R_15,3334,R_15,18323,R_15,21657,R_15,124132,R_15,1889100,R_15,77708926,IF15,18819591,IF15,8753243,R_15,182470612,R_15,52411385,R_15,15852731,R_15,11523847,IF15,11833557,R_15,272052,IF15,172668,IF15,27572,IF15,6365241,R_15,4472015,R_15,447064,R_15,13421,R_15,19093789,IF15,10174505,R_15,01/2015,R_15,12/2015,R_15,39,2016,03
