STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO,F_AUDIO,VIDEO,F_VIDEO,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,ESUBSCRP,F_ESUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,PUB_FIPS,YR_SUB,OBEREG
SC,4414387,R_08,4414387,R_08,4414387,R_08,41,R_08,148,R_08,33,R_08,448.51,R_08,581.6,R_08,1293.75,R_08,1875.35,R_08,98430162,R_08,9817556,R_08,508561,R_08,5647132,R_08,114403411,R_08,54649151,R_08,18213731,R_08,72862882,R_08,12848414,R_08,1568385,R_08,3225114,R_08,17641913,R_08,21254113,R_08,111758908,R_08,6407811,R_08,1372703,R_08,69731,R_08,1107424,R_08,8957669,R_08,6588193,R_08,9420581,R_08,64949,R_08,418970,R_08,498628,R_08,431,R_08,1470,R_08,3,R_08,1904,R_08,21565,R_08,370,R_08,470817,R_08,16769920,R_08,4804279,R_08,2323552,R_08,23748205,R_08,8762882,R_08,24477,R_08,46155,R_08,30220,R_08,23707,R_08,809395,R_08,670725,R_08,3020,R_08,4876549,IF08,07/2007,R_08,06/2008,R_08,45,2009,05
SD,716971,R_08,698849,R_08,804194,R_08,114,R_08,36,R_08,8,R_08,46,IF08,142.33,IF08,217.6,IF08,359.93,IF08,20445643,IF08,9874,IF08,28124,IF08,1163198,IF08,21663573,IF08,10922645,IF08,3105566,IF08,14028211,IF08,2495222,IF08,262589,IF08,276308,IF08,3034119,IF08,3087963,IF08,20150293,IF08,12203313,IF08,19275,IF08,0,IF08,145907,IF08,12368495,IF08,7645552,IF08,3134055,IF08,61076,IF08,128470,IF08,155834,IF08,49,IF08,2687,IF08,925,IF08,3661,IF08,5601,IF08,33,IF08,240922,IF08,3922009,IF08,611410,IF08,398283,IF08,5876032,IF08,1863239,IF08,33128,IF08,43431,IF08,10969,IF08,8779,IF08,262829,IF08,227820,IF08,920,IF08,924336,IF08,01/2008,R_08,12/2008,R_08,46,2009,04
TN,6082057,R_08,6082057,R_08,6107408,R_08,187,R_08,102,R_08,6,R_08,312.14,R_08,562.55,R_08,1276,R_08,1838.55,R_08,94670822,R_08,439274,R_08,364731,R_08,8385669,R_08,103860496,R_08,53463484,R_08,14856128,R_08,68319612,R_08,8012726,R_08,1266141,R_08,1878732,R_08,11157599,R_08,22295955,R_08,101773166,R_08,2829642,R_08,30503,R_08,15733,R_08,1642550,R_08,4518428,R_08,3275101,R_08,11594877,R_08,65388,R_08,505104,R_08,514677,R_08,597,R_08,5930,R_08,58,R_08,6585,R_08,16930,R_08,58,R_08,640009,R_08,20454468,IF08,3994170,R_08,3020823,R_08,24776959,R_08,8187372,R_08,74376,IF08,69811,IF08,33840,R_08,26473,R_08,996781,R_08,852429,R_08,3918,R_08,5939358,R_08,07/2007,R_08,06/2008,R_08,47,2009,05
TX,22261813,R_08,22261813,R_08,23904308,R_08,561,R_08,303,R_08,12,R_08,1654.18,IF08,2273.63,R_08,4993.55,R_08,7267.18,R_08,424639171,R_08,5034390,R_08,1062630,R_08,19109470,R_08,449845661,R_08,223127969,R_08,71829623,R_08,294957592,R_08,44310430,R_08,7314772,R_08,10927848,R_08,62553050,R_08,80529821,R_08,438040463,R_08,56283946,R_08,710535,R_08,3321000,R_08,17266389,R_08,77581870,R_08,58509159,R_08,41796507,R_08,224122,R_08,2109628,R_08,2328909,R_08,1595,R_08,26758,R_08,713,R_08,29066,R_08,66530,R_08,3597,R_08,1893595,R_08,74220681,IF08,15813368,IF08,11790823,IF08,109274296,IF08,42246979,IF08,273158,R_08,423727,R_08,185629,R_08,124189,R_08,4643068,R_08,3440418,R_08,14831,R_08,20390892,IF08,02/2007,R_08,12/2008,R_08,48,2009,06
UT,2636319,R_08,2615868,R_08,2615868,R_08,55,R_08,61,R_08,18,R_08,174.73,IF08,328.26,IF08,830.06,IF08,1158.32,IF08,79625584,IF08,837035,IF08,350803,IF08,4534574,IF08,85347996,IF08,39331583,IF08,14748464,IF08,54080047,IF08,9401849,IF08,896656,IF08,3870844,IF08,14169349,IF08,15599567,IF08,83848963,IF08,6315477,IF08,71378,IF08,73048,IF08,1250685,IF08,7710588,IF08,4189357,IF08,6555620,IF08,38942,IF08,779237,IF08,551837,IF08,518,IF08,2675,IF08,0,IF08,3193,IF08,16215,IF08,172,IF08,296586,IF08,17486786,IF08,4415026,IF08,1713470,IF08,33915349,IF08,13745640,IF08,27806,IF08,25062,IF08,22452,IF08,18006,IF08,835228,IF08,705634,IF08,1529,IF08,3957340,IF08,07/2007,R_08,12/2008,R_08,49,2009,07
VA,7661394,R_08,7599342,R_08,7712091,R_08,79,R_08,264,R_08,31,R_08,895.6,R_08,1025.09,R_08,2950.71,R_08,3975.8,R_08,246073193,R_08,17259131,R_08,567590,R_08,13324025,R_08,277223939,R_08,142219208,R_08,41661932,R_08,183881140,R_08,22856283,R_08,3734416,R_08,6255024,R_08,32845723,R_08,53203955,R_08,269930818,R_08,37804505,R_08,36875,R_08,71400,R_08,321275,IF08,38234055,IF08,27755286,R_08,19181230,R_08,836355,IF08,1132927,R_08,959961,R_08,747,IF08,1638,R_08,0,R_08,2385,R_08,34638,R_08,4075,IF08,922514,R_08,39888117,IF08,7266780,IF08,4444435,R_08,69748939,R_08,24188340,IF08,151172,IF08,154957,IF08,76494,IF08,52386,IF08,1828360,R_08,1354834,R_08,5129,R_08,6115844,IF08,07/2007,R_08,06/2008,R_08,51,2009,05
VI,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,M,U_08,M,U_08,78,2009,09
VT,730847,R_08,603762,R_08,621254,R_08,180,R_08,3,R_08,7,R_08,50.9,IF08,193.8,IF08,131.68,IF08,325.48,IF08,14645312,IF08,81896,IF08,35710,IF08,5873941,IF08,20636859,IF08,10173483,IF08,2406034,IF08,12579517,IF08,1845173,IF08,95322,IF08,341562,IF08,2282057,IF08,4729550,IF08,19591124,IF08,258121,IF08,0,IF08,0,IF08,541788,IF08,799909,IF08,643077,IF08,2900490,IF08,46,IF08,135536,IF08,149902,IF08,135,IF08,2419,IF08,0,IF08,2554,IF08,7236,IF08,17,IF08,263618,IF08,3893460,IF08,485614,IF08,377536,IF08,4628168,IF08,1903437,IF08,29948,IF08,41706,IF08,22205,IF08,16310,IF08,368625,IF08,279599,IF08,920,IF08,836290,IF08,01/2007,R_08,09/2008,R_08,50,2009,01
WA,6458043,R_08,6458043,R_08,6587600,R_08,55,R_08,279,R_08,26,R_08,831.03,R_08,869.22,R_08,2772.06,R_08,3641.28,R_08,322323686,R_08,1099344,R_08,564115,R_08,12160021,R_08,336147166,R_08,167406188,R_08,52564242,R_08,219970430,R_08,33358100,IF08,6744121,IF08,5342280,IF08,45444501,R_08,71979179,R_08,337394110,R_08,4572428,R_08,0,R_08,0,R_08,2774639,R_08,7347067,R_08,43026512,R_08,16433203,IF08,63835,IF08,1266805,IF08,1261163,IF08,823,R_08,704,R_08,58,R_08,1585,R_08,46098,IF08,5976,IF08,762283,R_08,42271449,IF08,6523904,IF08,4389115,R_08,78346460,R_08,24912983,IF08,205396,IF08,205829,IF08,58147,IF08,43263,IF08,1659601,IF08,1331850,IF08,4465,R_08,9189636,IF08,01/2008,R_08,12/2008,R_08,53,2009,08
WI,5674228,R_08,5674228,R_08,5674228,R_08,378,R_08,80,R_08,8,R_08,642.69,R_08,1152.27,R_08,1919.66,R_08,3071.93,R_08,196339984,R_08,4322923,R_08,987617,R_08,11300883,R_08,212951407,R_08,105397430,IF08,39962709,IF08,145360139,R_08,17664418,IF08,1402329,IF08,5860982,IF08,24927729,R_08,38591822,R_08,208879690,R_08,10950256,R_08,157977,R_08,73745,R_08,4647249,R_08,15829227,R_08,17363165,R_08,19843392,R_08,3008483,IF08,2519089,R_08,1700553,R_08,888,R_08,10668,R_08,1957,R_08,13513,R_08,50292,IF08,71,IF08,1048156,R_08,35467185,IF08,5044090,IF08,3672668,IF08,62066708,IF08,22104478,IF08,7917018,IF08,7943238,IF08,70399,IF08,55662,IF08,1810234,IF08,1555453,IF08,4519,R_08,7486506,IF08,01/2008,R_08,12/2008,R_08,55,2009,03
WV,1808350,R_08,1808350,R_08,1808350,R_08,97,R_08,76,R_08,7,R_08,94.55,R_08,319.38,R_08,306.57,R_08,625.95,R_08,21024273,R_08,8953066,R_08,256264,R_08,3172118,R_08,33405721,R_08,14746667,R_08,4485779,R_08,19232446,R_08,3198802,R_08,261191,R_08,746440,R_08,4206433,R_08,6221154,R_08,29660033,R_08,3494384,R_08,414600,R_08,0,R_08,1644838,R_08,5553822,R_08,3992279,R_08,5119205,R_08,5135,IF08,208016,R_08,235309,R_08,203,R_08,1164,R_08,0,R_08,1367,R_08,7181,R_08,59,R_08,385060,R_08,6007868,IF08,881328,IF08,786447,R_08,7605053,R_08,2405131,IF08,88404,IF08,81788,IF08,19916,R_08,12446,R_08,421695,IF08,283494,IF08,1207,R_08,1631210,IF08,07/2007,R_08,06/2008,R_08,54,2009,05
WY,522830,R_08,522830,R_08,522830,R_08,23,R_08,53,R_08,2,R_08,44.11,R_08,176.32,R_08,259.77,R_08,436.09,R_08,25555126,R_08,109813,R_08,56713,R_08,2253055,R_08,27974707,R_08,14594983,R_08,4864250,R_08,19459233,R_08,2207713,R_08,261282,R_08,628932,R_08,3097927,R_08,5110547,R_08,27667707,R_08,6014666,R_08,0,R_08,0,R_08,1188594,R_08,7203260,R_08,4455706,R_08,2446747,R_08,440,R_08,198166,R_08,134459,R_08,81,R_08,897,R_08,20,R_08,998,R_08,5161,R_08,17,R_08,131354,R_08,3559970,R_08,589571,R_08,346288,R_08,4728168,R_08,1633493,R_08,47919,R_08,49242,R_08,13112,R_08,9950,R_08,316853,R_08,261842,R_08,712,R_08,981246,R_08,07/2007,R_08,06/2008,R_08,56,2009,07
