STABR,POPU_LSA,F_POPLSA,POPU_UND,F_POPUND,POPU_ST,F_POPST,CENTLIB,F_CENLIB,BRANLIB,F_BRLIB,BKMOB,F_BKMOB,MASTER,F_MASTER,LIBRARIA,F_LIBRAR,OTHPAID,F_OTHSTF,TOTSTAFF,F_TOTSTF,LOCGVT,F_LOCGVT,STGVT,F_STGVT,FEDGVT,F_FEDGVT,OTHINCM,F_OTHINC,TOTINCM,F_TOTINC,SALARIES,F_SALX,BENEFIT,F_BENX,STAFFEXP,F_TOSTFX,PRMATEXP,F_PRMATX,ELMATEXP,F_ELMATX,OTHMATEX,F_OTMATX,TOTEXPCO,F_TOCOLX,OTHOPEXP,F_OTHOPX,TOTOPEXP,F_TOTOPX,LCAP_REV,F_LCAPRV,SCAP_REV,F_SCAPRV,FCAP_REV,F_FCAPRV,OCAP_REV,F_OCAPRV,CAP_REV,F_TCAPRV,CAPITAL,F_TCAPX,BKVOL,F_BKVOL,EBOOK,F_EBOOK,AUDIO,F_AUDIO,VIDEO,F_VIDEO,DB_LOC,F_DB_LOC,DB_ST,F_DB_ST,DB_OTH,F_DB_OTH,DATABASE,F_DBASE,SUBSCRIP,F_PRSUB,ESUBSCRP,F_ESUB,HRS_OPEN,F_HRS_OP,VISITS,F_VISITS,REFERENC,F_REFER,REGBOR,F_REGBOR,TOTCIR,F_TOTCIR,KIDCIRCL,F_KIDCIR,LOANTO,F_LOANTO,LOANFM,F_LOANFM,TOTPRO,F_TOTPRO,KIDPRO,F_KIDPRO,TOTATTEN,F_TOTATT,KIDATTEN,F_KIDATT,GPTERMS,F_GPTERM,PITUSR,F_PITUSR,STARTDAT,F_STDAT,ENDDATE,F_ENDDAT,PUB_FIPS,YR_SUB,OBEREG
AK,679720,R_08,679720,R_08,679720,R_08,86,R_08,16,R_08,2,R_08,60.53,R_08,109.43,R_08,205.88,R_08,315.31,R_08,28362728,R_08,933563,R_08,1006786,R_08,1544162,R_08,31847239,R_08,12884993,R_08,7418831,R_08,20303824,R_08,2383355,R_08,295641,R_08,350496,R_08,3029492,R_08,7641469,R_08,30974785,R_08,1152388,R_08,524449,R_08,114699,R_08,595076,R_08,2386612,R_08,2306805,R_08,2491164,R_08,14204,R_08,122641,R_08,199098,R_08,161,R_08,4250,R_08,28,R_08,4439,R_08,6610,R_08,57,R_08,152506,R_08,3472740,R_08,424260,R_08,387028,R_08,4276100,R_08,1423766,IF08,27775,R_08,30951,R_08,9233,R_08,7792,R_08,192554,R_08,161885,R_08,558,R_08,1004502,R_08,01/2007,R_08,09/2008,R_08,02,2009,08
AL,4437691,R_08,4437691,R_08,4437691,R_08,209,R_08,79,R_08,16,R_08,288.93,R_08,694,R_08,1062.42,R_08,1756.42,R_08,81761725,R_08,5105813,R_08,1369401,R_08,10319973,R_08,98556912,R_08,49441830,R_08,11567824,R_08,61009654,R_08,8208083,R_08,846042,R_08,2952880,R_08,12007005,R_08,20186217,R_08,93202876,R_08,7299275,R_08,4602483,R_08,256547,R_08,1596873,R_08,13755178,R_08,7576974,R_08,9615216,R_08,425341,IF08,447555,R_08,476812,R_08,808,R_08,16337,R_08,245,R_08,17390,R_08,12627,IF08,3046,IF08,615543,IF08,15477454,IF08,3397118,IF08,2320774,R_08,19479906,IF08,6553887,IF08,119126,IF08,148916,IF08,28024,R_08,19474,IF08,748065,IF08,598140,IF08,4445,IF08,3741285,IF08,10/2007,R_08,09/2008,R_08,01,2009,05
AR,2703770,R_08,2656139,R_08,2775708,R_08,46,R_08,170,R_08,3,R_08,115.6,IF08,310.66,IF08,728.17,IF08,1038.83,IF08,53935520,IF08,4583336,IF08,95904,IF08,3983984,IF08,62598744,IF08,26015622,IF08,6965525,IF08,32981147,IF08,6414675,IF08,643289,IF08,1370387,IF08,8428351,IF08,15561003,IF08,56970501,IF08,6868978,IF08,277899,IF08,0,IF08,423503,IF08,7570380,IF08,6654793,IF08,6449815,IF08,31394,IF08,230256,IF08,271823,IF08,652,IF08,3598,IF08,80,IF08,4330,IF08,9942,IF08,200,IF08,399357,IF08,9908666,IF08,1838855,IF08,1497694,IF08,13098502,IF08,3362651,IF08,26796,IF08,38954,IF08,25302,IF08,17650,IF08,624385,IF08,490048,IF08,1855,IF08,3002604,IF08,01/2008,R_08,12/2008,R_08,05,2009,05
AZ,6489400,R_08,6489400,R_08,6500194,R_08,81,R_08,126,R_08,10,R_08,512.28,IF08,644.55,IF08,1623.74,IF08,2268.29,IF08,185677236,IF08,645161,IF08,1030851,IF08,12356441,IF08,199709689,IF08,80923744,IF08,26573566,IF08,107497310,IF08,17878671,IF08,3944919,IF08,5165954,IF08,26989544,IF08,36283284,IF08,170752307,IF08,54183768,IF08,115116,IF08,28385,IF08,46115133,IF08,100442402,IF08,49827549,IF08,8619469,IF08,260136,IF08,594580,IF08,674615,IF08,499,IF08,2663,IF08,551,IF08,3713,IF08,18842,IF08,6932,IF08,486037,IF08,26196458,IF08,4561326,IF08,3787368,IF08,47617079,IF08,11769648,IF08,364273,IF08,375877,IF08,49892,IF08,31880,IF08,1236259,IF08,890442,IF08,3686,IF08,6489619,IF08,07/2007,R_08,06/2008,R_08,04,2009,06
CA,38048664,R_08,38048664,R_08,38049462,R_08,167,R_08,950,R_08,63,R_08,3336.41,IF08,3592.66,IF08,9132.52,IF08,12725.18,IF08,1194133242,IF08,34133188,IF08,4202090,IF08,93656777,IF08,1326125297,IF08,607755137,IF08,237239691,IF08,844994828,IF08,89249683,IF08,16935158,IF08,21590929,IF08,127775770,IF08,284139541,IF08,1256910139,IF08,122393767,IF08,16390209,IF08,496118,IF08,43001921,IF08,182282015,IF08,118097830,IF08,74197108,IF08,404320,IF08,3438921,IF08,4201054,IF08,2112,IF08,84,IF08,2175,IF08,4371,IF08,131061,IF08,7322,IF08,2350512,IF08,171873378,IF08,32546202,IF08,21100029,IF08,220108302,IF08,81978108,IF08,2767537,IF08,2667849,IF08,266927,IF08,195638,IF08,7363498,IF08,5912514,IF08,17505,IF08,38421303,IF08,07/2007,R_08,06/2008,R_08,06,2009,08
CO,4861210,R_08,4860991,R_08,4919884,R_08,101,R_08,149,R_08,10,R_08,590.76,IF08,911.81,R_08,1996,R_08,2907.81,R_08,237064998,R_08,124011,R_08,278230,R_08,21218959,R_08,258686198,R_08,114104855,R_08,30145530,R_08,144250385,R_08,17529453,R_08,4260064,R_08,8593132,R_08,30382649,R_08,51883468,R_08,226516502,R_08,42273010,R_08,227819,R_08,399748,R_08,50537272,R_08,93437849,R_08,70891499,R_08,12039091,IF08,145793,IF08,1005166,IF08,1019634,IF08,684,R_08,616,R_08,479,R_08,1779,R_08,26817,R_08,152,IF08,600295,R_08,30665954,R_08,5905070,IF08,2705297,IF08,58213741,IF08,19265355,IF08,439189,IF08,430620,R_08,78682,R_08,54539,R_08,1868567,R_08,1443936,R_08,3971,R_08,8070582,IF08,01/2008,R_08,12/2008,R_08,08,2009,07
CT,4307236,R_08,3510787,R_08,3510787,R_08,195,R_08,47,R_08,9,R_08,749.82,IF08,1041.2,IF08,1370.2,IF08,2411.4,IF08,150918558,IF08,1916300,IF08,147129,IF08,25279176,IF08,178261163,IF08,106099751,IF08,21067562,IF08,127167313,IF08,14840832,IF08,2337652,IF08,3171107,IF08,20349591,IF08,33955962,IF08,181472866,IF08,5597403,IF08,1569687,IF08,0,IF08,7499845,IF08,14666935,IF08,24692353,IF08,15608847,IF08,55886,IF08,789524,IF08,945945,IF08,842,IF08,5884,IF08,229,IF08,6955,IF08,29553,IF08,363,IF08,556093,IF08,23774657,IF08,4878931,IF08,2165305,IF08,32865812,IF08,11515973,IF08,581356,IF08,566067,IF08,76558,IF08,51472,IF08,1682413,IF08,1098144,IF08,3434,IF08,5773743,IF08,07/2007,R_08,06/2008,R_08,09,2009,01
DC,588292,R_08,588292,R_08,588292,R_08,1,R_08,26,R_08,1,R_08,123.25,R_08,123.25,R_08,322,R_08,445.25,R_08,44562831,R_08,0,R_08,923249,R_08,349602,R_08,45835682,R_08,22271125,R_08,3792061,R_08,26063186,R_08,2409748,R_08,846252,R_08,1152544,R_08,4408544,R_08,15462894,R_08,45934624,R_08,34402000,R_08,0,R_08,9000000,R_08,0,R_08,43402000,R_08,14334010,R_08,2063269,R_08,1999,R_08,94321,R_08,65183,R_08,59,R_08,0,IA08,0,IA08,59,R_08,3126,R_08,0,IA08,71124,R_08,2704709,R_08,832813,IA08,304003,IA08,1781862,R_08,525469,R_08,12,R_08,203,R_08,9492,R_08,4012,R_08,192441,R_08,145817,R_08,325,R_08,148119,R_08,10/2007,R_08,09/2008,R_08,11,2009,02
DE,789788,R_08,789788,R_08,873000,R_08,19,R_08,14,R_08,2,R_08,60.21,IF08,123.94,R_08,199.9,R_08,323.84,R_08,21252453,R_08,3167400,R_08,1099,R_08,1564543,R_08,25985495,R_08,11619208,R_08,3779459,R_08,15398667,R_08,2991832,R_08,150754,IF08,175746,R_08,3318332,R_08,5333400,R_08,24050399,R_08,6692312,R_08,4316509,R_08,0,R_08,1843025,R_08,12851846,R_08,7839726,R_08,1991350,R_08,1,IA08,106600,R_08,131966,R_08,79,IA08,675,IA08,85,IA08,839,IA08,5679,R_08,14,IA08,92293,R_08,4360697,R_08,464849,R_08,416396,R_08,8209675,R_08,2530227,R_08,163379,R_08,172038,R_08,8950,R_08,6193,R_08,208720,R_08,166690,R_08,459,R_08,434304,IF08,07/2007,R_08,06/2008,R_08,10,2009,02
FL,18981816,R_08,18776122,R_08,18807219,R_08,60,R_08,458,R_08,29,R_08,1836.69,IF08,2148.03,IF08,5154.95,IF08,7302.98,IF08,600013750,IF08,31402031,IF08,610492,IF08,29498112,IF08,661524385,IF08,263026999,IF08,83631965,IF08,346658964,IF08,50925593,IF08,9333164,IF08,13888743,IF08,74147500,IF08,152862859,IF08,573669323,IF08,83025329,IF08,3254252,IF08,402342,IF08,4922652,IF08,91604575,IF08,76333742,IF08,32736454,IF08,842813,IF08,2434378,IF08,3000195,IF08,1385,IF08,4944,IF08,146,IF08,6475,IF08,74338,IF08,11947,IF08,1294095,IF08,84363237,IF08,29434932,IF08,10535694,IF08,115644316,IF08,32540275,IF08,330203,IF08,363066,IF08,189848,IF08,100662,IF08,4263196,IF08,2875484,IF08,13200,IF08,21754019,IF08,10/2007,R_08,09/2008,R_08,12,2009,05
GA,9319532,R_08,9319532,R_08,9319532,R_08,59,R_08,328,R_08,17,R_08,687.57,R_08,708.17,R_08,2399.94,R_08,3108.11,R_08,161147323,R_08,35266761,R_08,403126,R_08,11471428,R_08,208288638,R_08,102012432,R_08,34526252,R_08,136538684,R_08,22643480,IF08,1866518,IF08,4674219,IF08,29184217,R_08,36500642,R_08,202223543,R_08,14822874,R_08,1640297,R_08,0,R_08,1240498,R_08,17703669,R_08,24467949,R_08,16087473,R_08,72424,R_08,662217,R_08,798696,R_08,1695,R_08,8614,R_08,0,R_08,10309,R_08,25492,R_08,1490,R_08,905630,R_08,36979778,R_08,9386248,IF08,3735470,R_08,43663621,R_08,17947160,R_08,493146,R_08,495310,R_08,57682,R_08,41379,R_08,1710336,R_08,1455226,R_08,6328,R_08,14054682,R_08,07/2007,R_08,06/2008,R_08,13,2009,05
GU,25984,R_08,25984,R_08,154805,R_08,1,R_08,5,R_08,1,R_08,0,R_08,0,R_08,32,R_08,32,R_08,1435991,R_08,-1,U_08,-1,U_08,34096,R_08,1470087,R_08,805948,R_08,258318,R_08,1064266,R_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,137958,R_08,-1,U_08,-1,U_08,137958,R_08,211772,R_08,-1,U_08,250,R_08,4303,R_08,2,R_08,0,R_08,0,R_08,2,R_08,4,R_08,-1,U_08,7488,R_08,70061,R_08,12326,R_08,46283,R_08,35232,R_08,29170,R_08,68,R_08,-1,U_08,219,R_08,210,R_08,4074,R_08,3954,R_08,66,R_08,36702,R_08,10/2007,R_08,09/2008,R_08,66,2009,09
HI,1283388,R_08,1283388,R_08,1283388,R_08,1,R_08,50,R_08,2,R_08,174,R_08,174,R_08,381.55,R_08,555.55,R_08,0,R_08,31359071,R_08,1241821,R_08,2812820,R_08,35413712,R_08,22502413,R_08,142399,R_08,22644812,R_08,3769392,R_08,1205819,R_08,54902,R_08,5030113,R_08,6079694,R_08,33754619,R_08,0,R_08,16425000,R_08,0,R_08,0,R_08,16425000,R_08,437877,R_08,3398837,R_08,9139,R_08,141940,R_08,125377,R_08,0,R_08,104,R_08,0,R_08,104,R_08,5282,R_08,98,R_08,95121,R_08,5891392,R_08,895180,R_08,874876,R_08,7020064,R_08,2629742,R_08,429,R_08,55,R_08,5955,R_08,4506,R_08,164543,R_08,133930,R_08,530,R_08,541320,R_08,07/2007,R_08,06/2008,R_08,15,2009,08
IA,2964393,R_08,2964393,R_08,3002555,R_08,539,R_08,20,R_08,4,R_08,236.35,R_08,930.91,IF08,740.5,IF08,1671.41,IF08,87068639,IF08,2749267,IF08,551356,IF08,8752478,IF08,99121740,IF08,50856116,IF08,14310795,IF08,65166911,IF08,10210190,IF08,886870,IF08,3289604,IF08,14386664,IF08,19495523,IF08,99049098,IF08,24295673,IF08,1937966,IF08,0,IF08,11568261,IF08,37801900,IF08,29017918,IF08,12235077,IF08,44663,IF08,625250,IF08,711084,IF08,785,IF08,8785,R_08,218,IF08,9788,IF08,36809,IF08,2729,IF08,981068,IF08,18533839,IF08,1863849,IF08,2011961,IF08,28348663,IF08,10150483,IF08,375966,IF08,360128,IF08,56030,IF08,43610,IF08,1257180,IF08,1059088,IF08,3580,IF08,4261166,IF08,07/2007,R_08,06/2008,R_08,19,2009,04
ID,1352012,R_08,1332012,R_08,1523816,R_08,102,R_08,38,R_08,10,R_08,73.1,IF08,197.18,IF08,497.74,IF08,694.92,IF08,37676221,IF08,1134081,IF08,181594,IF08,3955605,IF08,42947501,IF08,19196923,IF08,5776736,IF08,24973659,IF08,3833632,IF08,397220,IF08,598075,IF08,4828927,IF08,7255710,IF08,37058296,IF08,3273734,IF08,6747,IF08,8508,IF08,371849,IF08,3660838,IF08,10483149,IF08,4191906,IF08,5929,IF08,227367,IF08,219698,IF08,195,IF08,5224,IF08,47,IF08,5466,IF08,7022,IF08,29,R_08,255132,IF08,8549988,IF08,1118593,IF08,725153,IF08,12477600,IF08,5261711,IF08,75608,IF08,76549,IF08,19989,IF08,17152,IF08,579390,IF08,513199,IF08,1245,IF08,1874839,IF08,10/2007,R_08,09/2008,R_08,16,2009,07
IL,11681379,R_08,11683606,R_08,12901563,R_08,634,R_08,157,R_08,24,R_08,1751.39,IF08,2838.28,IF08,5588.78,IF08,8427.06,IF08,618144756,IF08,34423079,IF08,3149294,IF08,58767844,IF08,714484973,IF08,331158571,IF08,73797824,IF08,404956395,IF08,56787002,IF08,12379560,IF08,13116115,IF08,82282677,IF08,165098121,IF08,652291626,IF08,97263306,IF08,1830897,IF08,195329,IF08,14563656,IF08,113853188,IF08,75845882,IF08,45263499,IF08,506152,IF08,2780615,IF08,2570871,IF08,4505,IF08,9111,IF08,1043,IF08,14659,IF08,106877,IF08,10520,IF08,1988440,IF08,77552921,IF08,14063708,IF08,5355915,IF08,105342297,IF08,40987610,IF08,4905873,IF08,4554631,IF08,125930,IF08,91293,IF08,3442450,IF08,2701218,IF08,10509,IF08,16328937,IF08,10/2006,R_08,06/2008,R_08,17,2009,03
IN,5822055,R_08,5700473,R_08,6080485,R_08,238,R_08,196,R_08,35,R_08,905.52,R_08,1434.38,R_08,3142.84,R_08,4577.22,R_08,249144672,R_08,18549403,R_08,683987,R_08,20079947,R_08,288458009,R_08,139640271,R_08,39055381,R_08,178695652,R_08,28910750,R_08,2530823,R_08,9193386,R_08,40634959,R_08,64958336,R_08,284288947,R_08,44558507,R_08,1875034,R_08,10490,R_08,666172,R_08,47110203,R_08,36887807,R_08,25873311,R_08,91767,IF08,1585582,R_08,1832626,IF08,1457,R_08,8806,R_08,318,R_08,10581,R_08,57319,R_08,1825,IF08,1145237,R_08,41168334,IF08,5594034,R_08,3907867,R_08,78211299,R_08,23935580,IF08,114810,R_08,132127,R_08,124791,R_08,81465,R_08,2808031,R_08,1775817,R_08,6944,R_08,10110283,IF08,01/2008,R_08,12/2008,R_08,18,2009,03
KS,2367493,R_08,2364800,R_08,2775997,R_08,327,R_08,49,R_08,5,R_08,274.06,IF08,933.54,IF08,897.85,IF08,1831.39,IF08,94378379,IF08,3987724,IF08,296594,IF08,9707808,IF08,108370505,IF08,53527147,IF08,12795761,IF08,66322908,IF08,9697393,IF08,3459098,IF08,1395301,IF08,14551792,IF08,23798536,IF08,104673236,IF08,2210228,IF08,0,IF08,0,IF08,2462828,IF08,4673056,IF08,2191926,IF08,10381308,IF08,12300,IF08,502326,IF08,707222,IF08,303,IF08,9756,IF08,85,IF08,10144,IF08,21155,IF08,362,IF08,665797,IF08,14670670,IF08,2581179,IF08,1830271,IF08,26902734,IF08,10757420,IF08,545293,IF08,547534,IF08,38576,IF08,29464,IF08,957277,IF08,781882,IF08,3015,IF08,3914300,IF08,01/2008,R_08,12/2008,R_08,20,2009,04
KY,4204319,R_08,4204319,R_08,4241474,R_08,116,R_08,80,R_08,87,R_08,305.23,R_08,1037.24,R_08,1075.28,R_08,2112.52,R_08,131383186,R_08,7519571,R_08,725361,R_08,12045460,R_08,151673578,R_08,52192082,R_08,17001404,R_08,69193486,R_08,10676606,R_08,1778045,R_08,3615045,R_08,16069696,R_08,28353983,R_08,113617165,R_08,11140433,R_08,2679689,R_08,17251,R_08,6329667,R_08,20167040,R_08,37056592,R_08,8674170,R_08,132860,R_08,492108,R_08,516301,R_08,725,R_08,5665,R_08,122,R_08,6512,R_08,19567,R_08,14137,R_08,640461,R_08,18512133,R_08,3594318,R_08,2295236,R_08,28155605,R_08,9150602,R_08,45736,R_08,77837,R_08,62399,R_08,44511,R_08,1435557,R_08,1097754,R_08,3278,R_08,4482203,R_08,07/2007,R_08,06/2008,R_08,21,2009,05
LA,4433144,R_08,4410796,R_08,4410796,R_08,68,R_08,264,R_08,28,R_08,361.94,R_08,849.16,R_08,1447,R_08,2296.16,R_08,159178892,R_08,8443319,R_08,5430755,R_08,12104243,R_08,185157209,R_08,63331810,IF08,19328887,IF08,82660697,R_08,11458439,R_08,891578,R_08,3261564,R_08,15611581,R_08,44369689,R_08,142641967,R_08,2693276,R_08,0,R_08,152006,R_08,3749682,R_08,6594964,R_08,19372466,R_08,11640929,R_08,58960,R_08,385438,R_08,621426,R_08,546,R_08,4080,R_08,0,R_08,4626,R_08,25113,R_08,104,R_08,740568,R_08,14631927,R_08,5085107,R_08,2480750,R_08,17675680,R_08,4461976,R_08,83260,R_08,104544,R_08,41665,R_08,26435,R_08,960155,R_08,751503,R_08,4365,R_08,6561443,R_08,01/2008,R_08,12/2008,R_08,22,2009,05
MA,6475422,R_08,6448623,R_08,6449755,R_08,370,R_08,104,R_08,4,R_08,1135.03,IF08,1741.16,IF08,2076.99,IF08,3818.15,IF08,227275655,IF08,9185711,IF08,2293307,IF08,23579607,IF08,262334280,IF08,162643571,IF08,24406331,IF08,187049902,IF08,27204718,IF08,2747381,IF08,7653387,IF08,37605486,IF08,45391410,IF08,270046798,IF08,15681609,IF08,8905457,IF08,76958,IF08,6407093,IF08,31071117,IF08,29068238,IF08,32713115,IF08,138169,IF08,1585288,IF08,1569296,IF08,1750,IF08,11856,IF08,472,IF08,14078,IF08,55633,IF08,1706,IF08,943855,IF08,42169245,IF08,5515279,IF08,3667526,IF08,54182933,IF08,19153962,IF08,5391439,IF08,5424012,IF08,101461,IF08,65346,IF08,2142595,IF08,1512302,IF08,5030,IF08,9317348,IF08,07/2007,R_08,06/2008,R_08,25,2009,01
MD,5600388,R_08,5600388,R_08,5600388,R_08,15,R_08,168,R_08,18,R_08,678.22,R_08,1313.18,R_08,2189.18,R_08,3502.36,R_08,190191426,R_08,33916230,R_08,2806312,R_08,43070212,R_08,269984180,R_08,134924671,R_08,45138253,R_08,180062924,R_08,23007745,R_08,5948397,R_08,8800015,R_08,37756157,R_08,45317308,R_08,263136389,R_08,18108487,R_08,1249291,R_08,0,R_08,96444,R_08,19454222,R_08,23614594,R_08,14377604,R_08,31972,R_08,1040862,R_08,815447,R_08,372,R_08,581,R_08,435,R_08,1388,R_08,38232,R_08,462,IF08,515043,R_08,32814310,IF08,5905201,R_08,3250654,R_08,55165306,R_08,20292767,R_08,188384,R_08,192036,R_08,56899,R_08,37206,R_08,1626860,R_08,1143262,R_08,3790,R_08,6739831,IF08,07/2007,R_08,06/2008,R_08,24,2009,02
ME,1375269,R_08,1212346,R_08,1315398,R_08,272,R_08,6,R_08,0,R_08,160.35,IF08,345.31,IF08,369.56,IF08,714.87,IF08,29255644,IF08,371787,IF08,8432,IF08,10098525,IF08,39734388,IF08,21544681,IF08,5121992,IF08,26666673,IF08,3472135,IF08,167514,IF08,600018,IF08,4239667,IF08,8643839,IF08,39550124,IF08,3752618,IF08,20000,IF08,100000,IF08,3494602,IF08,7367220,IF08,4716415,IF08,6504982,IF08,2983,IF08,222096,IF08,284553,IF08,154,IF08,237,IF08,13204,IF08,13595,IF08,11122,IF08,230,IF08,386884,IF08,7187590,IF08,747227,IF08,770544,IF08,9309847,IF08,3425735,IF08,329265,IF08,349259,IF08,30811,IF08,21893,IF08,506570,IF08,371145,IF08,1437,IF08,1392815,IF08,04/2007,R_08,12/2008,R_08,23,2009,01
MI,9961909,R_08,9932125,R_08,9952969,R_08,379,R_08,278,R_08,14,R_08,1345.68,IF08,1950.43,IF08,3196.97,IF08,5147.4,IF08,403566238,IF08,10156546,IF08,188204,IF08,30268740,IF08,444179728,IF08,179093128,IF08,64673573,IF08,243766701,IF08,32802590,IF08,4848092,IF08,10231138,IF08,47881524,IF08,91762522,IF08,383410747,IF08,15255408,IF08,94364,IF08,2600759,IF08,11681369,IF08,29631900,IF08,53655656,IF08,34555522,IF08,193820,IF08,2084299,IF08,1821381,IF08,1999,IF08,61,IF08,708,IF08,2768,IF08,67713,IF08,320,IF08,1467217,IF08,54390124,IF08,8973512,IF08,5192502,IF08,79292940,IF08,27130298,IF08,3204582,IF08,3250147,IF08,98870,IF08,59050,IF08,2572044,IF08,1672844,IF08,9725,IF08,12925392,IF08,12/2006,R_08,09/2008,R_08,26,2009,03
MN,5641935,R_08,5263493,R_08,5263493,R_08,128,R_08,232,R_08,13,R_08,546.1,R_08,808.39,R_08,1566.63,R_08,2375.02,R_08,173255456,R_08,7732453,R_08,470519,R_08,17117810,R_08,198576238,R_08,99046255,R_08,32089055,IF08,131135310,R_08,16229333,IF08,2091907,R_08,4461712,IF08,22782952,R_08,40126499,R_08,194044761,R_08,14719580,R_08,2223,R_08,0,R_08,458686,R_08,15180489,R_08,13160025,R_08,14762302,R_08,2065410,R_08,881626,R_08,854136,R_08,550,R_08,1862,R_08,678,R_08,3090,R_08,34722,R_08,279,R_08,741509,IF08,28793229,IF08,4192693,IF08,4024748,IF08,56507764,R_08,22190104,IF08,1155242,R_08,1120316,R_08,44698,R_08,33604,R_08,1157274,R_08,899677,R_08,4467,R_08,6749132,IF08,01/2008,R_08,12/2008,R_08,27,2009,04
MO,5121498,R_08,5121498,R_08,5911605,R_08,140,R_08,219,R_08,29,R_08,399.13,R_08,772.73,R_08,2406.97,R_08,3179.7,R_08,187148842,R_08,4276752,R_08,1841876,R_08,18097653,R_08,211365123,R_08,90482714,R_08,24727299,R_08,115210013,R_08,21277126,R_08,6075878,R_08,5705900,R_08,33058904,R_08,40270466,R_08,188539383,R_08,11054938,IF08,0,IF08,287863,IF08,4760580,IF08,16103381,IF08,30298052,R_08,18034229,R_08,228625,R_08,865281,R_08,826440,R_08,1069,R_08,1876,R_08,134,R_08,3079,R_08,41489,R_08,3906,R_08,877623,R_08,28353441,IF08,5484080,IF08,3087615,IF08,47986846,R_08,17515318,IF08,302847,R_08,288344,R_08,57183,R_08,40796,IF08,1399203,IF08,1068773,IF08,4592,R_08,5104857,IF08,10/2006,R_08,12/2008,R_08,29,2009,04
MP,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,-1,U_08,M,U_08,M,U_08,69,2009,09
MS,2960036,R_08,2938618,R_08,2938618,R_08,47,R_08,190,R_08,2,R_08,107,R_08,590,R_08,652,R_08,1242,R_08,32552053,R_08,9892709,R_08,433419,R_08,5395019,R_08,48273200,R_08,22778674,R_08,7799751,R_08,30578425,R_08,3747731,R_08,377738,R_08,667767,R_08,4793236,R_08,9579829,R_08,44951490,R_08,5440757,R_08,1220244,R_08,99282,R_08,500034,R_08,7260317,R_08,7304889,R_08,5529883,R_08,13183,R_08,216277,R_08,280524,R_08,289,R_08,2647,R_08,50,R_08,2986,R_08,9998,R_08,35,R_08,459764,R_08,8859413,R_08,1697894,R_08,1413194,R_08,8571638,R_08,2065380,R_08,15704,R_08,24978,R_08,21047,R_08,11651,R_08,545074,R_08,353118,R_08,2047,R_08,2202515,R_08,10/2007,R_08,09/2008,R_08,28,2009,05
MT,900302,R_08,900302,R_08,900302,R_08,80,R_08,30,R_08,2,R_08,50.13,R_08,183.87,R_08,163.08,R_08,346.95,R_08,19714993,R_08,378523,R_08,38817,R_08,2283216,R_08,22415549,R_08,10076903,R_08,3124757,R_08,13201660,R_08,1872397,R_08,490671,R_08,334412,R_08,2697480,R_08,4241996,R_08,20141136,R_08,310579,R_08,0,R_08,0,R_08,1165611,R_08,1476190,R_08,2169044,R_08,2731780,R_08,259230,R_08,118423,R_08,133105,R_08,191,R_08,3976,R_08,52,R_08,4219,R_08,5180,R_08,44,R_08,198380,R_08,4063228,R_08,412724,R_08,447283,R_08,5832085,R_08,1847482,R_08,110781,R_08,138471,R_08,9229,R_08,6584,R_08,229853,IF08,158630,IF08,855,R_08,1285700,R_08,07/2007,R_08,06/2008,R_08,30,2009,07
NC,9069398,R_08,9069398,R_08,9069398,R_08,66,R_08,323,R_08,35,R_08,709.82,R_08,745.01,R_08,2436.77,R_08,3181.78,R_08,176493067,R_08,16920382,R_08,1419558,R_08,15058012,R_08,209891019,R_08,106961308,R_08,32351564,R_08,139312872,R_08,21144155,R_08,1837623,R_08,2508627,R_08,25490405,R_08,35822030,R_08,200625307,R_08,8135528,R_08,8000,R_08,275735,R_08,814245,R_08,9233508,R_08,8549681,R_08,16833062,R_08,256183,IF08,728561,R_08,636535,R_08,438,R_08,4312,R_08,58,R_08,4808,R_08,35033,IF08,64,IF08,995680,R_08,37600315,IF08,12128346,IF08,5050098,R_08,52658526,R_08,19440055,R_08,38212,IF08,64025,IF08,104529,R_08,82736,R_08,2595473,R_08,2195059,R_08,6119,R_08,9603233,IF08,07/2007,R_08,06/2008,R_08,37,2009,05
